ParkName,UnitCode,ParkType,Region,TrafficCounter,ReportingDate,TrafficCount
Big Hole NB,BIHO,National Battlefield,Pacific West,TRAFFIC COUNT AT BATTLE ROAD,31JAN2016,0
Big Hole NB,BIHO,National Battlefield,Pacific West,TRAFFIC COUNT AT BATTLE ROAD,29FEB2016,0
Big Hole NB,BIHO,National Battlefield,Pacific West,TRAFFIC COUNT AT BATTLE ROAD,31MAR2016,0
Big Hole NB,BIHO,National Battlefield,Pacific West,TRAFFIC COUNT AT BATTLE ROAD,30APR2016,183
Big Hole NB,BIHO,National Battlefield,Pacific West,TRAFFIC COUNT AT BATTLE ROAD,31MAY2016,289
Big Hole NB,BIHO,National Battlefield,Pacific West,TRAFFIC COUNT AT BATTLE ROAD,30JUN2016,782
Big Hole NB,BIHO,National Battlefield,Pacific West,TRAFFIC COUNT AT BATTLE ROAD,31JUL2016,1061
Big Hole NB,BIHO,National Battlefield,Pacific West,TRAFFIC COUNT AT BATTLE ROAD,31AUG2016,963
Big Hole NB,BIHO,National Battlefield,Pacific West,TRAFFIC COUNT AT BATTLE ROAD,30SEP2016,696
Big Hole NB,BIHO,National Battlefield,Pacific West,TRAFFIC COUNT AT BATTLE ROAD,31OCT2016,278
Big Hole NB,BIHO,National Battlefield,Pacific West,TRAFFIC COUNT AT BATTLE ROAD,30NOV2016,0
Big Hole NB,BIHO,National Battlefield,Pacific West,TRAFFIC COUNT AT BATTLE ROAD,31DEC2016,0
Big Hole NB,BIHO,National Battlefield,Pacific West,TRAFFIC COUNT AT ENTRANCE ROAD,31JAN2016,0
Big Hole NB,BIHO,National Battlefield,Pacific West,TRAFFIC COUNT AT ENTRANCE ROAD,29FEB2016,0
Big Hole NB,BIHO,National Battlefield,Pacific West,TRAFFIC COUNT AT ENTRANCE ROAD,31MAR2016,0
Big Hole NB,BIHO,National Battlefield,Pacific West,TRAFFIC COUNT AT ENTRANCE ROAD,30APR2016,600
Big Hole NB,BIHO,National Battlefield,Pacific West,TRAFFIC COUNT AT ENTRANCE ROAD,31MAY2016,1888
Big Hole NB,BIHO,National Battlefield,Pacific West,TRAFFIC COUNT AT ENTRANCE ROAD,30JUN2016,2022
Big Hole NB,BIHO,National Battlefield,Pacific West,TRAFFIC COUNT AT ENTRANCE ROAD,31JUL2016,2910
Big Hole NB,BIHO,National Battlefield,Pacific West,TRAFFIC COUNT AT ENTRANCE ROAD,31AUG2016,2328
Big Hole NB,BIHO,National Battlefield,Pacific West,TRAFFIC COUNT AT ENTRANCE ROAD,30SEP2016,1953
Big Hole NB,BIHO,National Battlefield,Pacific West,TRAFFIC COUNT AT ENTRANCE ROAD,31OCT2016,725
Big Hole NB,BIHO,National Battlefield,Pacific West,TRAFFIC COUNT AT ENTRANCE ROAD,30NOV2016,0
Big Hole NB,BIHO,National Battlefield,Pacific West,TRAFFIC COUNT AT ENTRANCE ROAD,31DEC2016,0
Cabrillo NM,CABR,National Monument,Pacific West,TRAFFIC COUNT AT MAIN ENTRANCE,31JAN2016,30994
Cabrillo NM,CABR,National Monument,Pacific West,TRAFFIC COUNT AT MAIN ENTRANCE,29FEB2016,32402
Cabrillo NM,CABR,National Monument,Pacific West,TRAFFIC COUNT AT MAIN ENTRANCE,31MAR2016,35950
Cabrillo NM,CABR,National Monument,Pacific West,TRAFFIC COUNT AT MAIN ENTRANCE,30APR2016,33557
Cabrillo NM,CABR,National Monument,Pacific West,TRAFFIC COUNT AT MAIN ENTRANCE,31MAY2016,32383
Cabrillo NM,CABR,National Monument,Pacific West,TRAFFIC COUNT AT MAIN ENTRANCE,30JUN2016,33582
Cabrillo NM,CABR,National Monument,Pacific West,TRAFFIC COUNT AT MAIN ENTRANCE,31JUL2016,38980
Cabrillo NM,CABR,National Monument,Pacific West,TRAFFIC COUNT AT MAIN ENTRANCE,31AUG2016,39910
Cabrillo NM,CABR,National Monument,Pacific West,TRAFFIC COUNT AT MAIN ENTRANCE,30SEP2016,30769
Cabrillo NM,CABR,National Monument,Pacific West,TRAFFIC COUNT AT MAIN ENTRANCE,31OCT2016,30815
Cabrillo NM,CABR,National Monument,Pacific West,TRAFFIC COUNT AT MAIN ENTRANCE,30NOV2016,29732
Cabrillo NM,CABR,National Monument,Pacific West,TRAFFIC COUNT AT MAIN ENTRANCE,31DEC2016,30521
City of Rocks NRES,CIRO,National Reserve,Pacific West,TRAFFIC COUNT AT CIRCLE CREEK ENTRANCE,31JAN2016,0
City of Rocks NRES,CIRO,National Reserve,Pacific West,TRAFFIC COUNT AT CIRCLE CREEK ENTRANCE,29FEB2016,0
City of Rocks NRES,CIRO,National Reserve,Pacific West,TRAFFIC COUNT AT CIRCLE CREEK ENTRANCE,31MAR2016,0
City of Rocks NRES,CIRO,National Reserve,Pacific West,TRAFFIC COUNT AT CIRCLE CREEK ENTRANCE,30APR2016,0
City of Rocks NRES,CIRO,National Reserve,Pacific West,TRAFFIC COUNT AT CIRCLE CREEK ENTRANCE,31MAY2016,5808
City of Rocks NRES,CIRO,National Reserve,Pacific West,TRAFFIC COUNT AT CIRCLE CREEK ENTRANCE,30JUN2016,3747
City of Rocks NRES,CIRO,National Reserve,Pacific West,TRAFFIC COUNT AT CIRCLE CREEK ENTRANCE,31JUL2016,3655
City of Rocks NRES,CIRO,National Reserve,Pacific West,TRAFFIC COUNT AT CIRCLE CREEK ENTRANCE,31AUG2016,4605
City of Rocks NRES,CIRO,National Reserve,Pacific West,TRAFFIC COUNT AT CIRCLE CREEK ENTRANCE,30SEP2016,3605
City of Rocks NRES,CIRO,National Reserve,Pacific West,TRAFFIC COUNT AT CIRCLE CREEK ENTRANCE,31OCT2016,4422
City of Rocks NRES,CIRO,National Reserve,Pacific West,TRAFFIC COUNT AT CIRCLE CREEK ENTRANCE,30NOV2016,0
City of Rocks NRES,CIRO,National Reserve,Pacific West,TRAFFIC COUNT AT CIRCLE CREEK ENTRANCE,31DEC2016,0
City of Rocks NRES,CIRO,National Reserve,Pacific West,TRAFFIC COUNT AT EMERY ENTRANCE,31JAN2016,0
City of Rocks NRES,CIRO,National Reserve,Pacific West,TRAFFIC COUNT AT EMERY ENTRANCE,29FEB2016,0
City of Rocks NRES,CIRO,National Reserve,Pacific West,TRAFFIC COUNT AT EMERY ENTRANCE,31MAR2016,0
City of Rocks NRES,CIRO,National Reserve,Pacific West,TRAFFIC COUNT AT EMERY ENTRANCE,30APR2016,0
City of Rocks NRES,CIRO,National Reserve,Pacific West,TRAFFIC COUNT AT EMERY ENTRANCE,31MAY2016,787
City of Rocks NRES,CIRO,National Reserve,Pacific West,TRAFFIC COUNT AT EMERY ENTRANCE,30JUN2016,852
City of Rocks NRES,CIRO,National Reserve,Pacific West,TRAFFIC COUNT AT EMERY ENTRANCE,31JUL2016,1136
City of Rocks NRES,CIRO,National Reserve,Pacific West,TRAFFIC COUNT AT EMERY ENTRANCE,31AUG2016,1159
City of Rocks NRES,CIRO,National Reserve,Pacific West,TRAFFIC COUNT AT EMERY ENTRANCE,30SEP2016,1029
City of Rocks NRES,CIRO,National Reserve,Pacific West,TRAFFIC COUNT AT EMERY ENTRANCE,31OCT2016,959
City of Rocks NRES,CIRO,National Reserve,Pacific West,TRAFFIC COUNT AT EMERY ENTRANCE,30NOV2016,0
City of Rocks NRES,CIRO,National Reserve,Pacific West,TRAFFIC COUNT AT EMERY ENTRANCE,31DEC2016,0
City of Rocks NRES,CIRO,National Reserve,Pacific West,TRAFFIC COUNT AT EMIGRANT ENTRANCE,31JAN2016,0
City of Rocks NRES,CIRO,National Reserve,Pacific West,TRAFFIC COUNT AT EMIGRANT ENTRANCE,29FEB2016,0
City of Rocks NRES,CIRO,National Reserve,Pacific West,TRAFFIC COUNT AT EMIGRANT ENTRANCE,31MAR2016,0
City of Rocks NRES,CIRO,National Reserve,Pacific West,TRAFFIC COUNT AT EMIGRANT ENTRANCE,30APR2016,0
City of Rocks NRES,CIRO,National Reserve,Pacific West,TRAFFIC COUNT AT EMIGRANT ENTRANCE,31MAY2016,189
City of Rocks NRES,CIRO,National Reserve,Pacific West,TRAFFIC COUNT AT EMIGRANT ENTRANCE,30JUN2016,331
City of Rocks NRES,CIRO,National Reserve,Pacific West,TRAFFIC COUNT AT EMIGRANT ENTRANCE,31JUL2016,254
City of Rocks NRES,CIRO,National Reserve,Pacific West,TRAFFIC COUNT AT EMIGRANT ENTRANCE,31AUG2016,196
City of Rocks NRES,CIRO,National Reserve,Pacific West,TRAFFIC COUNT AT EMIGRANT ENTRANCE,30SEP2016,182
City of Rocks NRES,CIRO,National Reserve,Pacific West,TRAFFIC COUNT AT EMIGRANT ENTRANCE,31OCT2016,373
City of Rocks NRES,CIRO,National Reserve,Pacific West,TRAFFIC COUNT AT EMIGRANT ENTRANCE,30NOV2016,0
City of Rocks NRES,CIRO,National Reserve,Pacific West,TRAFFIC COUNT AT EMIGRANT ENTRANCE,31DEC2016,0
Crater Lake NP,CRLA,National Park,Pacific West,TRAFFIC COUNT AT ANNIE SPRINGS ENTRANCE,31JAN2016,1230
Crater Lake NP,CRLA,National Park,Pacific West,TRAFFIC COUNT AT ANNIE SPRINGS ENTRANCE,29FEB2016,2834
Crater Lake NP,CRLA,National Park,Pacific West,TRAFFIC COUNT AT ANNIE SPRINGS ENTRANCE,31MAR2016,3542
Crater Lake NP,CRLA,National Park,Pacific West,TRAFFIC COUNT AT ANNIE SPRINGS ENTRANCE,30APR2016,8059
Crater Lake NP,CRLA,National Park,Pacific West,TRAFFIC COUNT AT ANNIE SPRINGS ENTRANCE,31MAY2016,14584
Crater Lake NP,CRLA,National Park,Pacific West,TRAFFIC COUNT AT ANNIE SPRINGS ENTRANCE,30JUN2016,28365
Crater Lake NP,CRLA,National Park,Pacific West,TRAFFIC COUNT AT ANNIE SPRINGS ENTRANCE,31JUL2016,43861
Crater Lake NP,CRLA,National Park,Pacific West,TRAFFIC COUNT AT ANNIE SPRINGS ENTRANCE,31AUG2016,38020
Crater Lake NP,CRLA,National Park,Pacific West,TRAFFIC COUNT AT ANNIE SPRINGS ENTRANCE,30SEP2016,28264
Crater Lake NP,CRLA,National Park,Pacific West,TRAFFIC COUNT AT ANNIE SPRINGS ENTRANCE,31OCT2016,10304
Crater Lake NP,CRLA,National Park,Pacific West,TRAFFIC COUNT AT ANNIE SPRINGS ENTRANCE,30NOV2016,4081
